"艺人名=Dan Romer", "专辑名=Maniac"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Harlow Keen", "专辑名=Piano Fights for the Blue"
"艺人名=Roven Li", "专辑名=What the Blade Remembers"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Kenara Lith", "专辑名=We Loved Like It Would Last"
"艺人名=Jorson Wang", "专辑名=Harbor Wind on Old Vinyl"
"艺人名=Solvi Roon", "专辑名=Vows Beneath the Ember Sky"
"艺人名=Finn Chord", "专辑名=The Stone That Remembers"
"艺人名=Calix Drun", "专辑名=Settling Earth Cradle"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Lyrvane Omri", "专辑名=Drowsevale Descentline"
"艺人名=George Fenton", "专辑名=My Name Is Joe"
"艺人名=Guillaume Roussel", "专辑名=The Spy"
"艺人名=Bruno Coulais", "专辑名=Les Choristes: Les 20 ans"
"艺人名=Carlos Rafael Rivera", "专辑名=Department Q"
