"艺人名=Tony Morales", "专辑名=Reacher"
"艺人名=Priam Zeng", "专辑名=The Palace Arithmetic"
"艺人名=Solvi Roon", "专辑名=Steel in the Sun"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Finn Chord", "专辑名=Blood Blossoms Ascension of Thorns"
"艺人名=Naiyo Hesk", "专辑名=Lanternborne Ascent"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Brindle Kesar", "专辑名=Fireside to Mountain Fire"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Zimin Ower", "专辑名=Apricot Street Songs"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Pete Surarow", "专辑名=If We Don't Turn Back"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Dominic Lewis", "专辑名=Jolt"
"艺人名=Alex Weston", "专辑名=Expats"
"艺人名=Rolfe Kent", "专辑名=The Matador"
"艺人名=Steve Everitt", "专辑名=Escalate"
