"艺人名=Randy Newman", "专辑名=12 Songs"
"艺人名=Solvi Roon", "专辑名=Steel in the Sun"
"艺人名=Jorson Wang", "专辑名=A Harbor Learned Our Names"
"艺人名=Harlow Keen", "专辑名=Steps Across the Hidden Field"
"艺人名=Marven Yeo", "专辑名=Reborn Through Bruised Stillness"
"艺人名=Elsin Farrowell", "专辑名=Rooms That Breathe in Silence"
"艺人名=Velune Aster", "专辑名=Names We Never Spoke"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Kira Kong", "专辑名=Maple Mosaic of Vows"
"艺人名=Calix Drun", "专辑名=Lanterns Between Constellations"
"艺人名=Yara Windell", "专辑名=Mark City Glow"
"艺人名=Priam Zeng", "专辑名=Steel Footsteps over Winter Ridge"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Hino Resk", "专辑名=Stairwell Promises"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Dahlia Frost", "专辑名=Skyrail Aspirant"
"艺人名=Riven Cloudrest", "专辑名=The Palm's Familiar Back"
"艺人名=Lyrvane Omri", "专辑名=Night Sky Is Confiding Alone"
"艺人名=Nino Rota", "专辑名=The Godfather"
"艺人名=Mychael Danna", "专辑名=Life of Pi"
"艺人名=Olivier Deriviere", "专辑名=A Plague Tale: Requiem"
"艺人名=Dara Taylor", "专辑名=37 Words"
