"艺人名=Sam Hulick", "专辑名=Mass Effect 3"
"艺人名=Joren Talmage", "专辑名=Twelve Minds One Truth"
"艺人名=Zeya Ryn", "专辑名=Dusted Metal Bloom"
"艺人名=Kynan Rael", "专辑名=Small Fierce Ties"
"艺人名=Kyn Veyr", "专辑名=Stitched Accounts"
"艺人名=Elwen Thade", "专辑名=Prairie Justice Pages"
"艺人名=Jace Bramble", "专辑名=Unbent Blueprint"
"艺人名=Orisonne Solum", "专辑名=Streetlamp After the Last Shift"
"艺人名=Kenara Lith", "专辑名=Light Left on Anyway"
"艺人名=Orin Blackwell", "专辑名=Gaps In Our Music"
"艺人名=Elowen Strath", "专辑名=Silence Answers the Empty Seat"
"艺人名=Corin Ablet", "专辑名=Murmurs of a Tired City"
"艺人名=Naiyo Hesk", "专辑名=Oaths in Warm Emberlines"
"艺人名=Zane Midtown", "专辑名=The Day Everything Tilted"
"艺人名=Elsin Farrowell", "专辑名=Cold Sea Holding Our Story"
"艺人名=Nolan Driftwood", "专辑名=Promises Spoken Under Breath"
"艺人名=Guy Farley", "专辑名=Cashback"
"艺人名=Nino Rota", "专辑名=The Godfather"
"艺人名=Marco Beltrami", "专辑名=Logan"
"艺人名=Trevor Rabin", "专辑名=Jacaranda"
